name	id	url	picture	biography	organization	position
Tero Kaukomaa	958		http://13.re-publica.de/files/pictures/picture-958.jpg		Blind Spot Pictures	CEO / Producer
Timo Vuorensola	957		http://13.re-publica.de/files/pictures/picture-957.jpg	Timo Vuorensola is a film director from Finland. His first feature, the sci-fi comedy Star Wreck: In The Pirkinning was seven years in the making. It has since achieved cult success, and has been downloaded over 8 million times through official torrents. Timo’s second feature, the sci-fi comedy, Iron Sky, which tells the story of Nazis who come from the Far Side of the Moon, was released in 2012 in over 60 countries theatrically Timo also directs short films, music videos and ads. He is always interested in finding new ways of working within the film industry and believes that the Internet can provide various and interesting possibilities to replace traditional production models.	Blind Spot Pictures	Director
Mercedes Bunz	1008		http://13.re-publica.de/files/pictures/picture-1008.jpg	Dr. Mercedes Bunz lives in London and currently heads the Hybrid Publishing Lab of the Leuphana University which looks into the transformation of academic publishing with regards to digital distribution and open access. She was the Guardian's technology reporter and the online editor-in-chief of the Berlin based newspaper Der Tagesspiegel. 1997 she co-founded DEBUG, a monthly magazine for electronic aspects of life and is still part of its board. Her dissertation on the history on the internet (Bauhaus University Weimar) was published with Kadmos Kulturverlag. Her last book "The Silent Revolution. How algorithms change knowledge, work, public and politics without making to much noise" was published 2012 with the Suhrkamp Verlag.	Hybrid Publishing Lab, Leuphana University	Director
Diedrich Diederichsen	1497		http://13.re-publica.de/files/pictures/picture-1497.jpg	Geb. 1957 in Hamburg. In den 80er Jahren Redakteur und Herausgeber von Musikzeitschriften, in den 90er Hochschullehrer als Gastprofessor oder Lehrbeauftragter u.a. in Frankfurt, Stuttgart, Pasadena, Offenbach, Gießen, Weimar, Bremen, Wien, St. Louis, Köln, Los Angeles und Gainesville. 1998 - 2006 Professor für Ästhetische Theorie/Kulturwissenschaften an der Merz-Akademie, Stuttgart, seit 2006 Professor für Theorie, Praxis und Vermittlung von Gegenwartskunst am Institut für Kunst- und Kulturwissenschaften der Akademie der bildenden Künste Wien		
Sascha Funk	111		http://13.re-publica.de/files/pictures/picture-111.jpg	Switched from an online marketing agency life in Europe (Germany, Austria) to a teaching & freelancing life in Thailand. Now working as lecturer at Rangsit University, Bangkok, educating students in all things online and realizing that there's much more to the web than just the 'western www'. Furthermore keen on implementing eLearning into everyday classes and using technology for education.	Rangsit University, Thailand	Lecturer Online Business (SEO, Social Media, etc.) & Online Marketing Manager
Elisabeth Rank	359		http://13.re-publica.de/files/pictures/picture-359.jpg	Ich blogge seit zehn Jahren und arbeite seit 4 Jahren im Bereich Digitale Markenführung. Außerdem schreibe ich. Mein 2. Roman "Bist du noch wach?" ist im März 2013 im Berlin Verlag erschienen.	Torben, Lucie und die gelbe Gefahr GmbH	Senior Konzepterin
Markos Lemma	1449		http://13.re-publica.de/files/pictures/picture-1449.jpg	Born in Ethiopia in 1984. I'm specialized in ICT consultancy in Ethiopia. I co-founded the iceaddis innovation hub (www.iceaddis.com). I am currently working as a community manager. I am a coordinator on a research program on literacy, a project running by MIT, OLPC & Tufts University with a direct supervision of Nicholas Negroponte & Maryanne Wolf. I organize Barcamp Ethiopia once a year. Barcamp Ethiopia is the biggest tech community event in Ethiopia. I love the active tech community and organized different events. I am a collaborator, a blogger (Author for GlobalVoices) and a social media expert. I mainly blog and speak about social media, mobile technology in Africa, green tech, and social affairs.	iceaddis	co-founder & collaborator communities
Oliver Petzoldt	1632		http://13.re-publica.de/files/pictures/picture-1632.jpg	Educational technology Expert. Since January 2009 working for GIZ in Ethiopia. Co-founder of iceaddis, an innovation hub, incubator and co-working space in Addis Ababa. Passionate about open innovation, social entrepreneurship & beta-culture.	GIZ	Advisor
Kaleb Lechowski	2004		http://13.re-publica.de/files/pictures/picture-2004.jpg			Creator, writer and director of R'ha
Ingke Weimert	2039		http://13.re-publica.de/files/pictures/picture-2039.jpg		moviepilot GmbH	Head of Moviepilot GER
Alexander Hauser	526		http://13.re-publica.de/files/pictures/picture-526.jpg			
Don Dahlmann	1424		http://13.re-publica.de/files/pictures/picture-1424.jpg	Journalist, Social Media Berater. Lebt und atmet in Berlin.		Journalist
Sebastian Fiebrig	1724		http://13.re-publica.de/files/pictures/picture-1724.jpg	Freier Journalist, Blogger und Podcaster.		
Kai Pahl	1416		http://13.re-publica.de/files/pictures/picture-1416.jpg	Selbstständiger im Bereich Webdesign (Frontend-Development) Seit 2003 Betreiber des Sport/Sportmedienblogs allesaussersport		
Kirsten Fiedler	543		http://13.re-publica.de/files/pictures/picture-543.jpg		European Digital Rights (EDRi)	Advocacy Manager
Alexander Sander	338		http://13.re-publica.de/files/pictures/picture-338.jpg	Alexander Sander arbeitet für MEP Martin Ehrenhauser in Brüssel und hat die Kampagne NoPNR! gegründet. Ist hier und da aktiv. Beschäftigt sich mit den Themen Innere Sicherheit, Datenschutz und Netzpolitik.	Europäisches Parlament	Assistant MEP
Anja Ebersbach	724		http://13.re-publica.de/files/pictures/picture-724.jpg	Anja Ebersbach ist die Stellvertretende Vorsitzende des Präsidiums von Wikimedia Deutschland e.V. Anja betreibt seit 2007 eine Medienwerkstatt zur Einführung und Anwendungen von Wikis in Unternehmen und arbeitet als freie Autorin für IT-Magazine. Auch in ihrer Doktorarbeit beschäftigt sie sich mit der Einführung von Firmenwikis.	Wikimedia Deutschland - Gesellschaft zur Förderung Freien Wissens e. V.	Stellvertretende Vorsitzende des Präsidiums
Pavel Richter	453		http://13.re-publica.de/files/pictures/picture-453.jpg	Am 26. Januar 2006 um 11:38 machte der Benutzer: Schreibvieh seinen ersten Edit in der Wikipedia. Es folgten zahlreiche Edits zu Musikern und Milliardären – ein paar Sperren wegen Vandalismus waren auch dabei. Eine ganz normale Wikipedia-Laufbahn also. Aber aus dem Benutzer:Schreibvieh wurde im August 2009 der Geschäftsführer des gemeinnützigen Vereins Wikiemdia Deutschland e.V. Mit viel Passion und Professionalität setzt er sich für die freie Online-Enzyklopädie Wikipedia und andere Wikimedia-Projekte ein und leitet die Geschäftsstelle von Wikimedia mit inzwischen knapp 50 Mitarbeitern. Darüber hinaus engagiert sich Pavel als Beiratsmitglied seit Januar 2013 bei Transpareny International Deutschland e.V. und unterstützt die Organisation dotHIV. Und was war vor Wikimedia? Insgesamt 12 Jahre für Unternehmensberatungen im In- und Ausland und ein Studium der Politik, Geschichte und des Öffentlichen Rechts an der Universität Freiburg i. Br., in Ottawa (Kanada) und Bielefeld.	Wikimedia Deutschland e.V.	Vorstand
Dirk Franke	485		http://13.re-publica.de/files/pictures/picture-485.jpg	Wikipedia-Autor seit Januar 2004 und Wikipedia-Administrator seit Februar 2004. 2004/2005 Mitglied im Vorstand von Wikimedia Deutschland, 2011/2012 Mitglied im Präsidium von Wikimedia Deutschland. Derzeit Leiter eines Projekts zu Gegenwart und Zukunft des bezahlten Schreibens auf Wikipedia.	Wikipedia	Autor
Stine Eckert	675		http://13.re-publica.de/files/pictures/picture-675.jpg	I’m a Ph.D. Candidate and Instructor at the Philip Merrill College of Journalism at the University of Maryland and a student in its Women’s Studies Graduate Certificate Program. I hold a Master’s of Science in Journalism from Ohio University. In my research I am interested in international, comparative work and the intersection of new media, culture, and gender as well as the democratic potential of new media.	University of Maryland	Doktorandin
Keiko Tanaka	1878		http://13.re-publica.de/files/pictures/picture-1878.jpg	Die vielsprachige Autorin, Netzexpertin und Informatikerin arbeitet als Dozentin in Kioto und Tianjin. Sie ist Organisatorin des Remix Film Festivals sowie von TEDxKyoto und Ko-Gründerin von Trendipity.net – ein Projekt zu trend visualization. Als Lektorin und Übersetzerin repräsentiert sie Global Voices in Japan.		
Stefan Candea	1879		http://13.re-publica.de/files/pictures/picture-1879.jpg	Der Investigativ-Journalist erkundet in seiner Arbeit u.a. die datenschutzpolitischen und netzkulturellen Bedingungn für den 'Investigativ-Journalismus 2.0' in Rumänien. Als Ko-Gründer von thesponge.eu führt er Journalisten sowie Programmierer zusammen und intiiert im Rahmen dieses Projekts Experimente und Kollaborationen.		
Markus Hametner	1880		http://13.re-publica.de/files/pictures/picture-1880.jpg	Markus "fin" Hametner (Wien): Der Informatiker ist Mit-Entwickler von Luminous Flux – eine Open Source-Software für neuartigen Online-Journalismus. Er engagiert sich für ein Informationsfreiheitsgesetz in Österreich, ist Mitglied im Hacklab Wien und arbeitet mit einigen JournalistInnen auf der Basis von Luminous Flux an der Beta Version einer neuen Nachrichtenplattform namens OnOn.at. Die inhaltlichen Schwerpunkte liegen hier auf gesellschaftspolitischen Themen, darunter Korruption und Skandale in Österreich.		
Krystian Woznicki	1881		http://13.re-publica.de/files/pictures/picture-1881.jpg	Krystian Woznicki, Jahrgang 1972, Studium der Islam- und Asienwissenschaften und Hispanistik an der Humboldt Universität Berlin. Erfahrungen als Kurator, Autor, Redakteur, Dozent. 1995-1998 Tokio-Korrespondent bei Spex. 1997 Kurator des „Young Japanese Cinema“ Festivals am Filmmuseum Antwerpen. 2002-2005 Ko-Herausgeber einer Reihe von Readern im Zeitungsformat bei etc-publications. Autor von Büchern zur Globalisierung. Zuletzt erschien von ihm „Abschalten“ (2008) und „Wer hat Angst vor Gemeinschaft? Ein Dialog mit Jean-Luc Nancy“ (2009). Er war bis 2009 zehn Jahre lang Chefredakteur der Berliner Gazette und ist seitdem deren Herausgeber. Ehrenamtlich Vorstandsvorsitzender des Berliner Gazette e.V.	Berliner Gazette	Herausgeber
Axel Bruns	117		http://13.re-publica.de/files/pictures/picture-117.jpg	Dr Axel Bruns ist ein Associate Professor in der Creative Industries Faculty an der Queensland University of Technology in Brisbane, Australien, und ein Chief Investigator im ARC Centre of Excellence for Creative Industries and Innovation (http://cci.edu.au/). Er ist Autor von Blogs, Wikipedia, Second Life and Beyond: From Production to Produsage (2008) und Gatewatching: Collaborative Online News Production (2005), und Mitherausgeber von Twitter and Society (2013, mit Katrin Weller, Jean Burgess, Merja Mahrt, und Cornelius Puschmann), A Companion to New Media Dynamics (2013, mit John Hartley und Jean Burgess), und Uses of Blogs (2006, mit Joanne Jacobs). Bruns ist Experte im Feld des User-Created Content, und seine derzeitige Arbeit befaßt sich mit Nutzerbeteiligung in Sozialen Medien wie Twitter. Sein Forschungsblog ist http://snurb.info/, und er tweetet unter @snurb_dot_info. http://mappingonlinepublics.net/ hat weitere Details zur Forschungsarbeit seines Team im CCI.	ARC Centre of Excellence for Creative Industries and Innovation, Queensland University of Technology	Associate Professor
Julian Ausserhofer	397		http://13.re-publica.de/files/pictures/picture-397.jpg	digital media researcher ▲@OKFNat ▲media & open data enthusiast▲(social) media, politics, data journalism (#ddj)	Web Literacy Lab, Institut für Journalismus und PR, FH Joanneum	Wissenschaftlicher Mitarbeiter
Axel Maireder	1417		http://13.re-publica.de/files/pictures/picture-1417.jpg	Axel Maireder is principal researcher of the project 'Towards an Analytics of Networked Publics' at the University of Vienna, aimed at the development of new methods for the structural analyses of Internet discourses. Prior to this, he has been a research assistant at the Department of Communication, working on practices and dynamics of social media communication.	University of Vienn	Researcher
Christian Nuernbergk	440		http://13.re-publica.de/files/pictures/picture-440.jpg	Kommunikationswissenschaftler, Institut für Kommunikationswissenschaft und Medienforschung, LMU München. Forschung zu Social Media (insbesondere Blogs, Twitter), Internetjournalismus. 2012 Promotion mit dem Thema "Anschlusskommunikation in der Netzwerköffentlichkeit"	Ludwig-Maximilians-Universität München	
Anna Lena Schiller	274		http://13.re-publica.de/files/pictures/picture-274.jpg	Graphic Recording, Sketchnotes, Datenvisualisierung.		Head of Visual Sensemaking
Sylke Gruhnwald	1405		http://13.re-publica.de/files/pictures/picture-1405.jpg	Data-driven reporter with Swiss daily "Neue Zürcher Zeitung" and part of the trio behind the tumblr "http://bindersfullofburgers.tumblr.com/".	Neue Zürcher Zeitung	Data-driven reporter
Lisa Rienermann	1410		http://13.re-publica.de/files/pictures/picture-1410.jpg	likes to explain the word in pictures. works interdisciplinary in wide the field of illustration, photography, concept, grafik design and bad spelling.		explaining important stuff with pictures
Graham Linehan	1540		http://13.re-publica.de/files/pictures/picture-1540.jpg	Comedy writer/director of Father Ted & Big Train (with Arthur Mathews), Black Books (with Dylan Moran), The IT Crowd (with himself). Adapted The Ladykillers for the stage. Currently working on The Count Arthur Strong Show and a final IT Crowd special. Developing projects at Delightful Industries with Richard Boden.	Delightful Industries	Comedy writer and director
Johnny Haeusler	48		http://13.re-publica.de/files/pictures/picture-48.jpg	Born in Berlin in 1964, Johnny Haeusler founded the award-winning weblog Spreeblick in 2002. He is also a radio DJ and a member of post-punkrock band Plan B, which is touring again since 2012. He also ran a web design agency called defcom. Johnny has co-founded Germany's first blog ad network adnation as well as one of Europe's most exciting social media conferences, re:publica. His highly recommended eBook "I live by the river!" is available on Amazon and for iOS devices. Unlike this text here, it is written in German. In November 2012, Johnny Haeusler released an internet book for parents called "Netzgemüse" (the book, not the parents), which he co-wrote with his wife Tanja. He is rarely bored.	Spreeblick	
Zahi Alawi	89		http://13.re-publica.de/files/pictures/picture-89.jpg	Zahi Alawi arbeitet seit Februar 2005 als freier Redakteur für die Deutsche Welle. Der ausgebildete Politologe und Journalist hat an der Universität An-Najah im palästinensischen Nablus studiert und am Institut für Journalistik der TU Dortmund. Ist seit 2005 verantwortlicher Redakteur (arabisch) für die Bobs Awards der Deutschen Welle (www.thebobs.com). Seit dem beschäftigt er sich auch mit dem Thema Blogging – vor allem in den arabischen Ländern. Im Jahr 2010 und 2011 hat Alawi das Young Media Summit (http://yms2010.wordpress.com/) zusammen mit Matthias Spielkamp in Kairo organisiert. Seit 2010 ist er als Trainer im Online-Journalismus für die DW Akademie in Arabien unterwegs.		Redakteur und Projektmanager
Raegan MacDonald	905		http://13.re-publica.de/files/pictures/picture-905.jpg		Access	Senior Policy Analyst
Mark Graham	1069		http://13.re-publica.de/files/pictures/picture-1069.jpg	Mark is Director of Research and a Research Fellow at the Oxford Internet Institute. His research focuses on Internet and information geographies, and the overlaps between ICTs and economic development.	Oxford Internet Institute	Director of Research
Hendrik Kalb	1873		http://13.re-publica.de/files/pictures/picture-1873.jpg	Hendrik is a PhD researcher from the TU Berlin working in the BlogForever, a collaborative EU funded project of 12 academic and non-academic partners, e.g. the CERN. BlogForever will create a software platform capable of aggregating, preserving, managing and disseminating blogs. Any user or organization will be able to use the BlogForever software & guidelines to create a digital repository containing their own selection of blogs. Hendriks primary research interests are individual and collaborative behaviour in Web 2.0 and Social Software, especially in the field of knowledge management and e-learning. His PhD thesis focus on the intention of scientists to share open science resources and open educational resources with social software. He has been involved in research as a scientific assistant since 2004.	Technische Universität Berlin / EU-Forschungsprojekt BlogForever	Wissensschaftlicher Mitarbeiter
Sascha Lobo	81		http://13.re-publica.de/files/pictures/picture-81.jpg	Sascha Lobo, Jahrgang 1975, studierte Gesellschafts- und Wirtschaftskommunikation an der Universität der Künste in Berlin. Er arbeitet als Autor und Strategieberater mit den Schwerpunkten Internet und Markenkommunikation für Kunden wie die Deutsche Messe, die Fraunhofer Gesellschaft und VW. Er hält Vorträge über die digitale Welt von Social Media bis zu digitalen Arbeitsprozessen für Unternehmen wie Siemens, Lufthansa oder Wincor Nixdorf. Seit Januar 2011 schreibt er die wöchentliche Kolumne “Mensch-Maschine” auf Spiegel Online. Mit verschiedenen Coautoren (Holm Friebe, Kathrin Passig, NEON) verfasste er Sachbücher zu den Themen Arbeit, Netz und Gesellschaft. 2010 veröffentlichte er seinen ersten Roman “Strohfeuer”. Für das Gemeinschaftsblog Riesenmaschine.de erhielt er 2006 den Grimme Online Award, 2007 den Erik-Reger-Literaturpreis (Förderpreis) und andere Auszeichnungen. Zuletzt erschien im Oktober 2012 sein Buch “Internet – Segen oder Fluch”, geschrieben gemeinsam mit Kathrin Passig.		Autor, Internet, Vortragsredner. Kolumnist auf Spiegel Online.
Huck Haas	813		http://13.re-publica.de/files/pictures/picture-813.jpg	Großer Vorsitzender von Stijlroyal · Designer · Herausgeber · Magazinmacher · Anhänger sämtlicher Theorien · Geht am Stock · Kukkt nach vorne		Designer · Kauz · Bold · Stijlroyal
Gerrit Bruce Becht	1443		http://13.re-publica.de/files/pictures/picture-1443.jpg	Von Gottes Gnaden, Kontakter, Stijlroyal.	Stijlroyal	Kontakter
Maike Hank	1440		http://13.re-publica.de/files/pictures/picture-1440.jpg	Maike Hank schreibt ins Netz seit 2002, was gewürdigt wird in “Blogs! – Text und Form im Internet”, einer der ersten Buchveröffentlichungen über die deutsche Blogosphäre. Sie ist Mitgründerin von 'kleinerdrei' und sagt 'das' Blog. Ihre Lieblingszeit auf Twitter ist 22:22 Uhr.	kleinerdrei	Agentin für den Tugendfuror
Tobias 'schlenzalot' Schramm	2246		http://13.re-publica.de/files/pictures/picture-2246.jpg	Schöngeist und Leopardenjackenträger Macht was mit Medien, berät Unternehmen und gewinnt Bullshit-Bingo-Sessions in Serie Fan-Zitat: "Wenn der mal stirbt, musst du seine neongrüne Jogginghose extra totschlagen"	trommsdorff + drüner | innovation + marketing consultants GmbH	Berater, Kenner, Macher
Anja Gottschling	2506		http://13.re-publica.de/files/pictures/picture-2506.jpg	Rheinländerin durch und dursch • Liebt es, Menschen zu beobachten • Mag Schuhe und Bier.		
Florian Sievers	2187		http://13.re-publica.de/files/pictures/picture-2187.jpg	Florian is a trained Journalist for Economics and former editor of Groove magazine for electronic music and club culture. He works as a freelance writer in Berlin, writing about music and economics alike, as long as there are interesting people involved. In the recent past he has met exceptionally many of these people in African countries. Which just adds to his fascination for that continent coming from the feeling that all the music which touches him is bascially rooted in Africa, from Blues to Techno. Currently Florian is co-editing a reader about club culture, urban space and public sphere in ten African and European cities together with Goethe-Institut Nairobi/Kenya. It is part of the project Ten Cities which also includes an exchange programme of electronic music producers between the involved cities.	Ten Cities	Journalist / Editor
Pedro Coquenão	2374		http://13.re-publica.de/files/pictures/picture-2374.jpg	The Angolan born musician Batida grew up in the suburbs of Lisbon, where he developed a passion for listening to and buying records. But instead of becoming a musician he first pursued a Radio DJ career, where he founded a collective called Fazuma dedicated to promoting Afro-influenced music. The name Batida started as a radio programme and evolved to an album on Soundway Records. The programme is still on air on portugese national radio and in portugese speaking African countries. Batida also has a slot on Ginga Beat from Red Bull Music Academy Radio on the same subject. He is the TEN CITIES curator for Lisbon, Portugal as well as a participant of the TEN CITIES musical collaboration phase in Nairobi, Kenya. –––––––––––––––––––––––––– Selected Discography: Batida - Batida (Soundway Records / 2012), Batida - Alegria (Soundway Records / 2012), Batida - Ngongo J'ami / Yumbala (Soundway Records / 2012)	fazuma	
Joyce Nyairo	2170		http://13.re-publica.de/files/pictures/picture-2170.jpg	I am an independent scholar, with over 20 years of experience in advocacy, research and programme management in the creative sector in Kenya. I was a lead consultant on the Volkswagen Foundation’s “Negotiating Culture in the Context of Globalization” research programme. As a grant-maker for the Ford Foundation, I supported many independent media and arts organizations in East Africa. I write occasional op-eds for the Daily Nation, and have reviewed books for the Times Literary Supplement and an assessed entries for the Noma Award for African Writing. I have also published academic articles in a number of refereed journals (e.g. African Affairs). I graduated with a BA and MA (Literature) from the University of Nairobi and my PhD in Humanities is from the University of the Witsatersrand, South Africa.	Nyairo@Cultural Analyst	Researcher
Blanche Fabri	2299		http://13.re-publica.de/files/pictures/picture-2299.jpg	Blanche Fabri studierte Medienwissenschaften und politische Wissenschaften an der Universität Hamburg. Als Konsortin bei der Agentur Jöran und Konsorten organisiert sie GoogleQuiz, (Bildungs)Kongresse und Tagungen, produziert Livestreams und Webvideos und koordiniert online und offline Projekte im Bildungsbereich. Außerdem ist sie als Dozentin in der Erwachsenenbildung tätig.	Jöran und Konsorten	
Jöran Muuß-Merholz	977		http://13.re-publica.de/files/pictures/picture-977.jpg	Jöran Muuß-Merholz ist Diplom-Pädagoge und betreibt mit einem kleinen Team die Agentur „J&K - Jöran und Konsorten“. Er arbeitet an den Schnittstellen zwischen Bildung / Lernen und Medien / Kommunikation. Insbesondere berät er Bildungseinrichtungen hinsichtlich der Frage, wie sie digitale Medien sinnvoll in ihrer Arbeit einsetzen können. Zuletzt erschien sein Buch „Mein Kind ist bei Facebook“ bei Pearson. Im Auftrag der Bundeszentrale für politische Bildung bpb koordiniert er die redaktionelle Arbeit der Website www.pb21.de, die sich mit den Einsatzmöglichkeiten von Web 2.0 für die Bildungsarbeit beschäftigt. Weitere Texte, Termine und Projekte von Jöran Muuß-Merholz finden sich unter www.joeran.de	Agentur J&K - Jöran und Konsorten	Inhaber
Pedro Coquenão	2374		http://13.re-publica.de/files/pictures/picture-2374.jpg	The Angolan born musician Batida grew up in the suburbs of Lisbon, where he developed a passion for listening to and buying records. But instead of becoming a musician he first pursued a Radio DJ career, where he founded a collective called Fazuma dedicated to promoting Afro-influenced music. The name Batida started as a radio programme and evolved to an album on Soundway Records. The programme is still on air on portugese national radio and in portugese speaking African countries. Batida also has a slot on Ginga Beat from Red Bull Music Academy Radio on the same subject. He is the TEN CITIES curator for Lisbon, Portugal as well as a participant of the TEN CITIES musical collaboration phase in Nairobi, Kenya. –––––––––––––––––––––––––– Selected Discography: Batida - Batida (Soundway Records / 2012), Batida - Alegria (Soundway Records / 2012), Batida - Ngongo J'ami / Yumbala (Soundway Records / 2012)	fazuma	
Tim Pritlove	870		http://13.re-publica.de/files/pictures/picture-870.jpg	: Tim Pritlove setzt sich seit gut 30 Jahren mit Computern, Netzwerken und Kommunikation auseinander und widmet sich seit einigen Jahren vollständig der Produktion von Audio-Podcasts im Netz und lebt davon. Unter dem Label "Metaebene Personal Media" produziert er eine Reihe von Talk- und Interviewformate, die zu den beliebtesten im deutschsprachigen Raum gehören. Das von Tim Pritlove initierte Projekt "Podlove Personal Media Development" widmet sich der Weiterentwicklung der technischen Podcasting-Infrastruktur und der in dem Bereich verwendeten Standards.	Metaebene Personal Media	Spezialexperte
Manouchehr Shamsrizi	1089		http://13.re-publica.de/files/pictures/picture-1089.jpg	Manouchehr Shamsrizi (24) ist Global Justice Fellow der Yale University und Fellow der Royal Society of Arts. Er ist Mitglied verschiedener Think Tanks, darunter der “beta-group” der ZEIT Stiftung, Google’s Collaboratory, Siemens' “Future Influencer”, der Jungen DGAP, dem vom British Foreign & Commonwealth Office und Wilton Park’s organisierten Atlantic Youth Forum, dem “Yunus Brainpool” des Grameen Creative Labs, der Rotarian Action Group for Peace, außerdem Dramaturg des Zentrums für Politische Schönheit und Global Ambassador des Sandbox Networks. Er wurde zum “European Future Leader”, “One Young World Ambassador”, e-fellows - Gründer des Monats und “Leader of Tomorrow” der Universität St. Gallen gewählt, war Teilnehmer der Jugenddelegation des 10th World Summit of Nobel Peace Laureates, des Contemporary Carlowitz - Projekts des Rates für Nachhaltige Entwicklung der Bundesregierung und des Global Impact Institutes von Howard W. Buffett und engagiert sich im Rahmen der SENS Research Foundation. Er schreibt als Blogger fuer das "FutureChallenges.org" - Projekt der Bertelsmann Stiftung, ist Editor der World Security Network Foundation und Kolumnist der REVUE - Magazine for the Next Society. Manouchehr hat einen Bachelor in Wirtschafts-, Kultur- und Politikwissenschaften der Zeppelin Universität, wo er auch Koordinator des European Center for Sustainability Research war, und studiert im Master of Public Policy an der Humboldt-Viadrina School of Governance.		
Kathrin Ganz	450		http://13.re-publica.de/files/pictures/picture-450.jpg	Kathrin Ganz is a political scientist based in Hamburg. She's interested in intersectional perspectives on digital communication politics and the internet. Currently, she's working on her dissertation about Germany's internet movement.		Researcher
Hans Christian Voigt	806		http://13.re-publica.de/files/pictures/picture-806.jpg	Soziologe aus Wien mit besonderem Interesse für Bedingungen der Dissidenz in sozialen Systemen. 2006 setzt er sein erstes Wiki und später den ersten von vielen Blogs auf und beginnt sich praktisch mit Möglichkeiten von Gegenöffentlichkeit, Wissensmanagement in Netzwerken und Organisationsentwicklung politischer Initiativen zu beschäftigen. Herausgeber von "Soziale Bewegungen und Social Media", berät heimlich Politiker_innen, Bürger_innen-Initiative, Gewerkschaften, in Arbeitskämpfen verstrickte Prekarisierte, bringt Betriebsrät_innen pgp, truecrypt und https-Nutzung bei und überhaupt.	#sbsm, #oafi, #souo et al.	Soziologe
Anne Roth	1390		http://13.re-publica.de/files/pictures/picture-1390.jpg	Anne Roth lebt in Berlin, ist Medien- und Netzaktivistin, Bloggerin, auch Diplom-Politologin. 2001 startete sie mit vielen anderen Deutschlands erste interaktive und unabhängige Nachrichten-Website Indymedia. Als Kollateralschaden einer Terror-Fahndung begann sie 2007 über das Leben mit Überwachung zu bloggen. Weitere Themen ihres Blogs annalist: Innenpolitik, Medien, Netzpolitik, Hacktivism und Feministisches. Anne Roth ist Program Editor and Researcher beim Tactical Technology Collective, konkret im Programm Privacy and Expression.	Tactical Technology Collective	Bloggerin, Netz- und Medienaktivistin
Anna Weilberg	700		http://13.re-publica.de/files/pictures/picture-700.jpg	After studying Media Studies, English literature and Japanese studies at the University of Trier and the University of Oxford and analysing the relevance of fashion blogs in fashion journalism in her final thesis, Anna Weilberg is currently living in Hamburg and working as online editor for the design magazine PAGE. She has previously spoken at re:publica 11.		Journalistin
David Kurth Karl Roth	1407		http://13.re-publica.de/files/pictures/picture-1407.jpg			
Katja Dalhöfer	1523		http://13.re-publica.de/files/pictures/picture-1523.jpg		Glam Media	VP, Sales & New Business Development
Katja Schweitzberger	1509		http://13.re-publica.de/files/pictures/picture-1509.jpg			
Teresa Bücker	698		http://13.re-publica.de/files/pictures/picture-698.jpg	Teresa Bücker (*1984) schreibt derzeit an ihrem ersten Buch zum Thema Geschlechtergerechtigkeit, das im Berlin Verlag erscheinen wird. Als freie Autorin widmet sie sich Themen der digitalen Gesellschaft, Mode, Kommunikation und Beziehungen. Seit 2010 schreibt sie das FAZ-Blog Deus ex Machina. Sie spricht regelmäßig auf Konferenzen über Netzpolitik und Freiheit, Liebe in der virtuellen Welt und Feminismus. Seit Juni 2012 ist sie als Referentin für digitale Strategie und soziale Medien bei der SPD-Bundestagsfraktion tätig. Zuvor war sie Beraterin beim SPD-Parteivorstand und hat dort vor allem an neuen Beteiligungsformen für Bürgerinnen und Bürger gearbeitet. Von 2008 bis 2010 leitete sie das Ressort “Community und Social Media” bei "der Freitag" und hat dort den Relaunch des Onlineauftritts mit konzipiert sowie die Blog-Community der Wochenzeitung aufgebaut. Sie ist Vorstandsmitglied bei D64 e.V.		Autorin und Politikberaterin
Ralf Grötker	1380		http://13.re-publica.de/files/pictures/picture-1380.jpg	Wissenschaftsautor für Sozialforschung mit Schwerpunkt im Bereich Kollektive Entscheidungsfindung und Wissensmanagement; Moderation und Beratung mit visualisierter Problemstrukturierung; Gründer der Open Expertise-Plattform Debattenprofis	Journalistenbüro Schnittstelle	freelancer
Marco Maas	95		http://13.re-publica.de/files/pictures/picture-95.jpg	Netzversteher, Datenjournalist	OpenDataCity	Datenjournalist
Nicola Kuhrt	1974		http://13.re-publica.de/files/pictures/picture-1974.jpg	Journalistin für Medizinthemen mit den Schwerpunkten Pharma-Markt, Innovationen, Preisbildung, Gesundheitspolitik. Schrieb für Tages- und Wochenzeitungen, unter anderem Zeit, Süddeutsche Zeitung und Frankfurter Allgemeine Sonntagszeitung. Seit 2010 Gutachterin bei Medien-Doktor.de - the German HealthNewsReview. Seit Januar 2012 Redakteurin im Wissenschaftsressort von SPIEGEL ONLINE, seit Juli 2012 stellvertretende Ressortleiterin. Bloggt aktuell auf "datenlese" - und "kuhrtgesagt".	SPIEGEL ONLINE	Stellv. Ressortleiterin
